IATA,ICAO,Airport,Location,Timezone,Season
KCZ,RJOK,Kochi Ryoma Airport,"Kochi, Shikoku, Japan",UTC+09:00,
MYJ,RJOM,Matsuyama Airport,"Matsuyama, Shikoku, Japan",UTC+09:00,
ITM,RJOO,Osaka International Airport (Itami Int'l),"Osaka, Honshu, Japan",UTC+09:00,
TTJ,RJOR,Tottori Airport[1],"Tottori, Honshu, Japan",,
TKS,RJOS,Tokushima Airport[1],"Tokushima, Shikoku, Japan",,
TAK,RJOT,Takamatsu Airport,"Takamatsu, Shikoku, Japan",,
IWJ,RJOW,Iwami Airport (Hagi-Iwami Airport),"Masuda, Honshu, Japan",UTC+09:00,
AOJ,RJSA,Aomori Airport,"Aomori, Honshu, Japan",UTC+09:00,
GAJ,RJSC,Yamagata Airport (Junmachi Airport),"Yamagata, Honshu, Japan",UTC+09:00,
SDS,RJSD,Sado Airport[1],"Sado, Niigata, Japan",,
FKS,RJSF,Fukushima Airport,"Sukagawa, Honshu, Japan",UTC+09:00,
HHE,RJSH,JMSDF Hachinohe Air Base,"Hachinohe, Honshu, Japan",UTC+09:00,
HNA,RJSI,Hanamaki Airport,"Hanamaki, Honshu, Japan",UTC+09:00,
AXT,RJSK,Akita Airport,"Akita, Honshu, Japan",UTC+09:00,
MSJ,RJSM,Misawa Airport,"Misawa, Honshu, Japan",UTC+09:00,
KIJ,RJSN,Niigata Airport,"Niigata, Honshu, Japan",UTC+09:00,
ONJ,RJSR,Odate–Noshiro Airport,"Odate / Noshiro, Honshu, Japan",,
SDJ,RJSS,Sendai Airport,"Sendai, Honshu, Japan",,
SYO,RJSY,Shonai Airport,"Shonai, Honshu, Japan",,
NJA,RJTA,Naval Air Facility Atsugi[1],"Atsugi, Honshu, Japan",,
HAC,RJTH,Hachijojima Airport,"Hachijo-jima (Hachijojima), Izu Islands, Japan",UTC+09:00,
OIM,RJTO,Oshima Airport[1],"Oshima, Izu Islands, Japan",,
MYE,RJTQ,Miyakejima Airport,"Miyake-jima, Japan",UTC+09:00,
HND,RJTT,Haneda Airport,"Tokyo, Honshu, Japan",UTC+09:00,
OKO,RJTY,Yokota Air Base[1],"Fussa, Honshu, Japan",,
MWX,RKJB,Muan International Airport[1],"Muan, South Korea",UTC+09:00,
KWJ,RKJJ,Gwangju Airport,"Gwangju (Kwangju), South Korea",UTC+09:00,
KUV,RKJK,Gunsan Airport,"Gunsan, South Korea",UTC+09:00,
CHN,RKJU,Jeonju Airport,"Jeonju, South Korea",UTC+09:00,
RSU,RKJY,Yeosu/Suncheon Airport[1],"Yeosu / Suncheon, South Korea",,
KAG,RKNN,Gangneung Air Base,"Gangneung, South Korea",UTC+09:00,
WJU,RKNW,Wonju Airport,"Wonju, South Korea",,
YNY,RKNY,Yangyang International Airport[1],"Yangyang, South Korea",,
CJU,RKPC,Jeju International Airport,"Jeju, South Korea",UTC+09:00,
JDG,RKPD,Jeongseok Airport,"Seogwipo, South Korea",UTC+09:00,
CHF,RKPE,Jinhae Airport,"Jinhae, South Korea",UTC+09:00,
PUS,RKPK,Gimhae International Airport,"Busan, South Korea",,
HIN,RKPS,Sacheon Airport,"Jinju, South Korea",UTC+09:00,
USN,RKPU,Ulsan Airport[1],"Ulsan, South Korea",,
ICN,RKSI,Incheon International Airport,"Seoul, South Korea",UTC+09:00,
SSN,RKSM,Seoul Air Base,"Seoul, South Korea",,
OSN,RKSO,Osan Air Base[1],"Osan, South Korea",,
GMP,RKSS,Gimpo International Airport,"Seoul, South Korea",UTC+09:00,
SWU,RKSW,Suwon Air Base[1],"Suwon, South Korea",,
KPO,RKTH,Pohang Airport,"Pohang, South Korea",UTC+09:00,
JWO,RKTI,Jungwon Air Base[1],"Chungju, South Korea",UTC+09:00,
UJN,RKTL,Uljin Airport[1],"Uljin, South Korea",,
TAE,RKTN,Daegu International Airport,"Daegu, South Korea",,
HMY,RKTP,Seosan Air Base[1],"Seosan, South Korea",UTC+09:00,
CJJ,RKTU,Cheongju International Airport,"Cheongju, South Korea",UTC+09:00,
YEC,RKTY,Yecheon Air Base,"Yecheon, South Korea",,
OKA,ROAH,Naha Airport,"Okinawa, Ryukyu Islands, Japan",,
DNA,RODN,Kadena Air Base,"Kadena, Okinawa, Japan",UTC+09:00,
ISG,ROIG,New Ishigaki Airport,"Ishigaki, Yaeyama Islands, Japan",UTC+09:00,
UEO,ROKJ,Kumejima Airport[1],"Kumejima, Okinawa Islands, Japan",,
KJP,ROKR,Kerama Airport,"Fukaji Island, Kerama Islands, Japan",UTC+09:00,
MMD,ROMD,Minami-Daito Airport,"Minamidaito, Daito Islands, Japan",UTC+09:00,
MMY,ROMY,Miyako Airport,"Miyakojima, Miyako Islands, Japan",UTC+09:00,
AGJ,RORA,Aguni Airport,"Aguni, Okinawa, Japan",UTC+09:00,
IEJ,RORE,Iejima Airport,"Iejima, Okinawa, Japan",UTC+09:00,
HTR,RORH,Hateruma Airport,"Hateruma, Yaeyama Islands, Japan",UTC+09:00,
KTD,RORK,Kitadaito Airport,"Kitadaito, Daito Islands, Japan",UTC+09:00,
SHI,RORS,Shimojishima Airport,"Shimoji-shima, Miyako Islands, Japan",,
TRA,RORT,Tarama Airport[1],"Tarama, Miyako Islands, Japan",,
RNJ,RORY,Yoron Airport[1],"Yoronjima, Amami Islands, Japan",,
OGN,ROYN,Yonaguni Airport,"Yonaguni, Yaeyama Islands, Japan",,
ENI,RPEN,El Nido Airport,"El Nido, Philippines",UTC+08:00,
SFS,RPLB,Subic Bay International Airport,"Subic Bay, Philippines",,
CRK,RPLC,Clark International Airport,"Clark Special Economic Zone, Philippines",UTC+08:00,
BSI,RPLE,Balesin Airport,"Balesin Island, Quezon, Philippines",UTC+08:00,
LLC,RPLH,Cagayan North International Airport (Lal-lo Airport),"Lal-lo, Philippines",UTC+08:00,
LAO,RPLI,Laoag International Airport,"Laoag, Philippines",UTC+08:00,
MNL,RPLL,Ninoy Aquino International Airport / Villamor Air Base,"Manila, Philippines",UTC+08:00,
CYU,RPLO,Cuyo Airport,"Cuyo, Philippines",UTC+08:00,
LGP,RPLP,Legazpi International Airport,"Legazpi, Philippines",UTC+08:00,
SGL,RPLS,Sangley Point Airport,"Manila, Philippines",,
LBX,RPLU,Lubang Airport,"Lubang, Philippines",UTC+08:00,
AAV,RPMA,Allah Valley Airport,"Surallah, Philippines",UTC+08:00,
CBO,RPMC,Awang Airport,"Cotabato City, Philippines",UTC+08:00,
DVO,RPMD,Francisco Bangoy International Airport,"Davao City, Philippines",UTC+08:00,
BXU,RPME,Bancasi Airport,"Butuan, Philippines",UTC+08:00,
BPH,RPMF,Bislig Airport,"Bislig, Philippines",UTC+08:00,
DPL,RPMG,Dipolog Airport,"Dipolog, Philippines",UTC+08:00,
CGM,RPMH,Camiguin Airport,"Mambajao, Philippines",UTC+08:00,
IGN,RPMI,Maria Cristina Airport (Iligan Airport),"Iligan, Philippines",UTC+08:00,
JOL,RPMJ,Jolo Airport,"Jolo, Philippines",UTC+08:00,
MLP,RPMM,Malabang Airport,"Malabang, Philippines",UTC+08:00,
TWT,RPMN,Sanga-Sanga Airport,"Tawitawi Island (Tawi-Tawi), Philippines",,
OZC,RPMO,Labo Airport,"Ozamiz, Philippines",,
PAG,RPMP,Pagadian Airport,"Pagadian, Philippines",,
MXI,RPMQ,Mati Airport (Imelda R. Marcos Airport),"Mati, Philippines",UTC+08:00,
GES,RPMR,General Santos International Airport (Tambler Airport),"General Santos, Philippines",UTC+08:00,
SUG,RPMS,Surigao Airport,"Surigao City, Philippines",,
CDY,RPMU,Cagayan de Sulu Airport,"Mapun, Philippines",UTC+08:00,
IPE,RPMV,Ipil Airport,"Ipil, Philippines",UTC+08:00,
TDG,RPMW,Tandag Airport,"Tandag, Philippines",,
CGY,RPMY,Laguindingan Airport,"Cagayan de Oro, Philippines",UTC+08:00,
ZAM,RPMZ,Zamboanga International Airport,"Zamboanga City, Philippines",,
XSO,RPNO,Siocon Airport,"Siocon, Philippines",,
IAO,RPNS,Sayak Airport[1] (Siargao Airport),"Del Carmen, Philippines",UTC+08:00,
RZP,RPSD,Cesar Lim Rodriguez Airport,"Taytay, Philippines",,
ICO,RPSG,Sicogon Airport,"Sicogon, Philippines",UTC+08:00,
TAG,RPSP,Bohol–Panglao International Airport,"Tagbilaran, Philippines",,
SWL,RPSV,San Vicente Airport,"San Vicente, Palawan, Philippines",,
BAG,RPUB,Loakan Airport,"Baguio, Philippines",UTC+08:00,
DTE,RPUD,Bagasbas Airport,"Daet, Philippines",UTC+08:00,
SJI,RPUH,San Jose Airport,"San Jose, Philippines",,
MBO,RPUM,Mamburao Airport,"Mamburao, Philippines",UTC+08:00,
WNP,RPUN,Naga Airport,"Naga, Philippines",,
BSO,RPUO,Basco Airport,"Basco, Philippines",UTC+08:00,
BQA,RPUR,Dr. Juan C. Angara Airport,"Baler, Philippines",UTC+08:00,
SFE,RPUS,San Fernando Airport,"San Fernando, Philippines",,
TUG,RPUT,Tuguegarao Airport,"Tuguegarao, Philippines",,
VRC,RPUV,Virac Airport,"Virac, Philippines",,
MRQ,RPUW,Marinduque Airport,"Marinduque Island, Philippines",UTC+08:00,
CYZ,RPUY,Cauayan Airport,"Cauayan, Philippines",UTC+08:00,
TAC,RPVA,Daniel Z. Romualdez Airport,"Tacloban, Philippines",,
BCD,RPVB,Bacolod–Silay International Airport,"Bacolod, Philippines",UTC+08:00,
CYP,RPVC,Calbayog Airport,"Calbayog, Philippines",UTC+08:00,
DGT,RPVD,Sibulan Airport (Dumaguete Airport),"Dumaguete, Philippines",UTC+08:00,
MPH,RPVE,Godofredo P. Ramos Airport (Caticlan Airport),"Malay, Philippines",UTC+08:00,
CRM,RPVF,Catarman National Airport,"Catarman, Philippines",UTC+08:00,
ILO,RPVI,Iloilo International Airport,"Iloilo, Philippines",UTC+08:00,
MBT,RPVJ,Moises R. Espinosa Airport (Masbate Airport),"Masbate, Philippines",UTC+08:00,
KLO,RPVK,Kalibo International Airport,"Kalibo, Philippines",UTC+08:00,
CEB,RPVM,Mactan–Cebu International Airport,"Lapu-Lapu, Philippines",UTC+08:00,
OMC,RPVO,Ormoc Airport,"Ormoc, Philippines",,
PPS,RPVP,Puerto Princesa International Airport,"Puerto Princesa, Philippines",,
RXS,RPVR,Roxas Airport,"Roxas, Philippines",,
EUQ,RPVS,Evelio Javier Airport (Antique Airport),"San Jose de Buenavista, Philippines",UTC+08:00,
TBH,RPVU,Tugdan Airport,"Tablas Island, Philippines",,
USU,RPVV,Francisco B. Reyes Airport,"Busuanga, Philippines",,
COC,SAAC,Comodoro Pierrestegui Airport,"Concordia, Entre Ríos, Argentina",UTC-03:00,
GHU,SAAG,Gualeguaychú Airport,"Gualeguaychú, Entre Ríos, Argentina",UTC-03:00,
JNI,SAAJ,Junín Airport,"Junín, Buenos Aires, Argentina",UTC-03:00,
PRA,SAAP,General Justo José de Urquiza Airport,"Paraná, Entre Ríos, Argentina",,
ROS,SAAR,Rosario – Islas Malvinas International Airport,"Rosario, Santa Fe, Argentina",,
SFN,SAAV,Sauce Viejo Airport[1],"Santa Fe de la Vera Cruz, Santa Fe, Argentina",,
AEP,SABE,Jorge Newbery Airpark,"Buenos Aires, Argentina",UTC-03:00,
LCM,SACC,La Cumbre Airport,"La Cumbre, Córdoba, Argentina",UTC-03:00,
COR,SACO,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport (Pajas Blancas),"Córdoba, Córdoba, Argentina",UTC-03:00,
LPG,SADL,La Plata Airport,"La Plata, Buenos Aires, Argentina",UTC-03:00,
EPA,SADP,El Palomar Airport[1],"El Palomar, Buenos Aires, Argentina",UTC-03:00,
EZE,SAEZ,Ministro Pistarini International Airport,"Buenos Aires, Argentina",UTC-03:00,
RAF,SAFR,Rafaela Airport[1],"Rafaela, Santa Fe, Argentina",,
NCJ,SAFS,Sunchales Aeroclub Airport[1],"Sunchales, Santa Fe, Argentina",,
HOS,SAHC,Chos Malal Airport,"Chos Malal, Neuquén, Argentina",UTC-03:00,
GNR,SAHR,Dr. Arturo Umberto Illia Airport,"General Roca, Río Negro, Argentina",UTC-03:00,
RDS,SAHS,Rincón de los Sauces Airport[1],"Rincón de los Sauces, Neuquén, Argentina",,
APZ,SAHZ,Zapala Airport,"Zapala, Neuquén, Argentina",UTC-03:00,
MDZ,SAME,Gov. Francisco Gabrielli International Airport (El Plumerillo),"Mendoza, Mendoza, Argentina",UTC-03:00,
LGS,SAMM,Comodoro D. Ricardo Salomón Airport,"Malargüe, Mendoza, Argentina",UTC-03:00,
AFA,SAMR,San Rafael Airport,"San Rafael, Mendoza, Argentina",UTC-03:00,
CTC,SANC,Coronel Felipe Varela International Airport,"Catamarca, Catamarca, Argentina",UTC-03:00,
SDE,SANE,Vicecomodoro Ángel de la Paz Aragonés Airport,"Santiago del Estero, Santiago del Estero, Argentina",,
IRJ,SANL,Capitán Vicente Almandos Almonacid Airport,"La Rioja, Argentina",UTC-03:00,
RHD,SANR[2],Termas de Río Hondo Airport[1],"Termas de Río Hondo, Santiago del Estero, Argentina",,
TUC,SANT,Teniente General Benjamín Matienzo International Airport,"San Miguel de Tucumán, Tucumán, Argentina",,
UAQ,SANU,Domingo Faustino Sarmiento Airport,"San Juan, San Juan, Argentina",,
CRR,SANW,Ceres Airport,"Ceres, Santa Fe, Argentina",UTC-03:00,
RCU,SAOC,Las Higueras Airport,"Río Cuarto, Córdoba, Argentina",,
VDR,SAOD,Villa Dolores Airport,"Villa Dolores, Córdoba, Argentina",,
VME,SAOR,Villa Reynolds Airport,"Villa Mercedes, San Luis, Argentina",,
RLO,SAOS,Valle del Conlara Airport[1],"Villa de Merlo, San Luis, Argentina",,
LUQ,SAOU,Brigadier Mayor César Raúl Ojeda Airport,"San Luis, San Luis, Argentina",UTC-03:00,
CNQ,SARC,Doctor Fernando Piragine Niveyro International Airport,"Corrientes, Corrientes, Argentina",UTC-03:00,
RES,SARE,Resistencia International Airport,"Resistencia, Chaco, Argentina",,
FMA,SARF,Formosa International Airport (El Pucú Airport),"Formosa, Argentina",UTC-03:00,
IGR,SARI,Cataratas del Iguazú International Airport,"Puerto Iguazú, Misiones, Argentina",UTC-03:00,
AOL,SARL,Paso de los Libres Airport,"Paso de los Libres, Corrientes, Argentina",UTC-03:00,
MCS,SARM,Monte Caseros Airport,"Monte Caseros, Corrientes, Argentina",UTC-03:00,
PSS,SARP,Libertador General José de San Martín Airport,"Posadas, Misiones, Argentina",,
PRQ,SARS,Presidencia Roque Sáenz Peña Airport,"Presidencia Roque Sáenz Peña, Chaco, Argentina",,
SLA,SASA,Martín Miguel de Güemes International Airport,"Salta, Salta, Argentina",,
JUJ,SASJ,Gobernador Horacio Guzmán International Airport,"San Salvador de Jujuy, Jujuy, Argentina",UTC-03:00,
ORA,SASO,Orán Airport,"Orán, Salta, Argentina",,
TTG,SAST,"Tartagal ""General Enrique Mosconi"" Airport","Tartagal, Salta, Argentina",,
CLX,SATC,Clorinda Airport,"Clorinda, Formosa, Argentina",UTC-03:00,
ELO,SATD,Eldorado Airport,"Eldorado, Misiones, Argentina",UTC-03:00,
OYA,SATG,Goya Airport[1],"Goya, Corrientes, Argentina",,
LLS,SATK,Alférez Armando Rodríguez Airport,"Las Lomitas, Formosa, Argentina",UTC-03:00,
MDX,SATM,Mercedes Airport,"Mercedes, Corrientes, Argentina",UTC-03:00,
RCQ,SATR,Reconquista Airport,"Reconquista, Santa Fe, Argentina",,
UZU,SATU,Curuzú Cuatiá Airport,"Curuzú Cuatiá, Corrientes, Argentina",,
EHL,SAVB,El Bolsón Airport,"El Bolsón, Río Negro, Argentina",UTC-03:00,
CRD,SAVC,General Enrique Mosconi International Airport,"Comodoro Rivadavia, Chubut, Argentina",UTC-03:00,
EMX,SAVD,El Maitén Airport,"El Maitén, Chubut, Argentina",UTC-03:00,
EQS,SAVE,Esquel Airport,"Esquel, Chubut, Argentina",UTC-03:00,
LHS,SAVH,Las Heras Airport,"Las Heras, Santa Cruz, Argentina",UTC-03:00,
IGB,SAVJ,Ingeniero Jacobacci Airport (Capitán FAA H. R. Borden Airport),"Ingeniero Jacobacci, Río Negro, Argentina",UTC-03:00,
OLN,SAVM,Lago Musters Airport[1],"Sarmiento, Chubut, Argentina",,
OES,SAVN,Antoine de Saint Exupéry Airport,"San Antonio Oeste, Río Negro, Argentina",,
MQD,SAVQ,Maquinchao Airport,"Maquinchao, Río Negro, Argentina",UTC-03:00,
ARR,SAVR,Alto Río Senguer Airport,"Alto Río Senguer, Chubut, Argentina",UTC-03:00,
SGV,SAVS,Sierra Grande Airport[1],"Sierra Grande, Río Negro, Argentina",,
REL,SAVT,Almirante Marcos A. Zar Airport,"Trelew, Chubut, Argentina",,
VDM,SAVV,Gobernador Edgardo Castello Airport,"Viedma, Río Negro, Argentina",,
PMY,SAVY,El Tehuelche Airport,"Puerto Madryn, Chubut, Argentina",,
FTE,SAWA,Comandante Armando Tola International Airport,"El Calafate, Santa Cruz, Argentina",UTC-03:00,
PUD,SAWD,Puerto Deseado Airport,"Puerto Deseado, Santa Cruz, Argentina",,
RGA,SAWE,Hermes Quijada International Airport,"Río Grande, Tierra del Fuego, Argentina",,
RGL,SAWG,Piloto Civil Norberto Fernández International Airport,"Río Gallegos, Santa Cruz, Argentina",,
USH,SAWH,Ushuaia – Malvinas Argentinas International Airport,"Ushuaia, Tierra del Fuego, Argentina",,
ULA,SAWJ,Capitán José Daniel Vazquez Airport[1],"Puerto San Julián, Santa Cruz, Argentina",,
ROY,SAWM,Río Mayo Airport[1],"Río Mayo, Chubut, Argentina",,
PMQ,SAWP,Perito Moreno Airport,"Perito Moreno, Santa Cruz, Argentina",,
GGS,SAWR,Gobernador Gregores Airport,"Gobernador Gregores, Santa Cruz, Argentina",UTC-03:00,
JSM,SAWS,José de San Martín Airport,"José de San Martín, Chubut, Argentina",UTC-03:00,
RYO,SAWT,Rio Turbio Airport[1],"Río Turbio, Santa Cruz, Argentina",,
RZA,SAWU,Santa Cruz Airport[1],"Puerto Santa Cruz, Santa Cruz, Argentina",,
BHI,SAZB,Comandante Espora Airport,"Bahía Blanca, Buenos Aires, Argentina",UTC-03:00,
CSZ,SAZC,Brigadier Hector Eduardo Ruiz Airport,"Coronel Suárez, Buenos Aires, Argentina",UTC-03:00,
OVR,SAZF,Olavarría Airport,"Olavarría, Buenos Aires, Argentina",,
GPO,SAZG,General Pico Airport,"General Pico, La Pampa, Argentina",UTC-03:00,
OYO,SAZH,Tres Arroyos Airport,"Tres Arroyos, Buenos Aires, Argentina",,
SST,SAZL,Santa Teresita Airport[1],"Santa Teresita, Buenos Aires, Argentina",,
MDQ,SAZM,Astor Piazzolla International Airport,"Mar del Plata, Buenos Aires, Argentina",UTC-03:00,
NQN,SAZN,Presidente Perón International Airport,"Neuquén, Neuquén, Argentina",,
NEC,SAZO,Necochea Airport,"Necochea, Buenos Aires, Argentina",,
PEH,SAZP,Comodoro Pedro Zanni Airport,"Pehuajó, Buenos Aires, Argentina",,
RSA,SAZR,Santa Rosa Airport,"Santa Rosa, La Pampa, Argentina",,
BRC,SAZS,San Carlos de Bariloche Airport,"San Carlos de Bariloche, Río Negro, Argentina",UTC-03:00,
TDL,SAZT,Tandil Airport,"Tandil, Buenos Aires, Argentina",,
VLG,SAZV,Villa Gesell Airport,"Villa Gesell, Buenos Aires, Argentina",,
CUT,SAZW,Cutral Có Airport,"Cutral Có, Neuquén, Argentina",UTC-03:00,
CPC,SAZY,Aviador Carlos Campos Airport,"San Martín de los Andes, Neuquén, Argentina",UTC-03:00,
CDJ,SBAA,Conceição do Araguaia Airport,"Conceição do Araguaia, Pará, Brazil",UTC-03:00,
ARX,SBAC,Aracati Airport,"Aracati, Canoa Quebrada, Brazil",UTC-03:00,
JTC,SBAE,Moussa Nakhl Tobias–Bauru/Arealva State Airport[1],"Bauru, São Paulo, Brazil",UTC-03:00,Oct-Feb
AQA,SBAQ,Araraquara Airport,"Araraquara, São Paulo, Brazil",UTC-03:00,Oct-Feb
AJU,SBAR,Santa Maria Airport,"Aracaju, Sergipe, Brazil",UTC-03:00,
AFL,SBAT,Alta Floresta Airport,"Alta Floresta, Mato Grosso, Brazil",UTC-04:00,Oct-Feb
ARU,SBAU,Araçatuba Airport,"Araçatuba, São Paulo, Brazil",UTC-03:00,Oct-Feb
AAX,SBAX,Araxá Airport,"Araxá, Minas Gerais, Brazil",UTC-03:00,Oct-Feb
BEL,SBBE,Val de Cans International Airport,"Belém, Pará, Brazil",UTC-03:00,
BGX,SBBG,Comandante Gustavo Kraemer Airport,"Bagé, Rio Grande do Sul, Brazil",UTC-03:00,Oct-Feb
PLU,SBBH,Belo Horizonte/Pampulha – Carlos Drummond de Andrade Airport,"Belo Horizonte, Minas Gerais, Brazil",,
BFH,SBBI,Bacacheri Airport,"Curitiba, Paraná, Brazil",UTC-03:00,Oct-Feb
BJP,SBBP,Arthur Siqueira–Bragança Paulista State Airport[1],"Bragança Paulista, São Paulo, Brazil",UTC-03:00,Oct-Feb
BSB,SBBR,Brasília International Airport (Presidente J. Kubitschek Int'l Airport),"Brasília, Distrito Federal, Brazil",UTC-03:00,Oct-Feb
BAT,SBBT,Chafei Amsei Airport,"Barretos, São Paulo, Brazil",UTC-03:00,Oct-Feb
BVB,SBBV,Boa Vista International Airport,"Boa Vista, Roraima, Brazil",UTC-04:00,
BPG,SBBW,Barra do Garças Airport,"Barra do Garças, Mato Grosso, Brazil",UTC-04:00,Oct-Feb
BZC,SBBZ,Umberto Modiano Airport,"Armação dos Búzios, Rio de Janeiro, Brazil",UTC-03:00,Oct-Feb
CAC,SBCA,Cascavel Airport (Adalberto Mendes da Silva Airport),"Cascavel, Paraná, Brazil",UTC-03:00,Oct–Feb
CFB,SBCB,Cabo Frio International Airport,"Cabo Frio, Rio de Janeiro, Brazil",UTC-03:00,Oct–Feb
CFC,SBCD,Caçador Airport,"Caçador, Santa Catarina, Brazil",UTC-03:00,Oct–Feb
CNF,SBCF,Tancredo Neves International Airport (Confins Int'l Airport),"Belo Horizonte, Minas Gerais, Brazil",UTC-03:00,Oct–Feb
CGR,SBCG,Campo Grande International Airport,"Campo Grande, Mato Grosso do Sul, Brazil",UTC-04:00,Oct–Feb
XAP,SBCH,Serafin Enoss Bertaso Airport,"Chapecó, Santa Catarina, Brazil",,
CLN,SBCI,Carolina Airport,"Carolina, Maranhão, Brazil",UTC-03:00,
CKS,SBCJ,Carajás Airport,"Parauapebas, Pará, Brazil",UTC-03:00,
CCM,SBCM,Diomício Freitas Airport,"Criciúma, Santa Catarina, Brazil",UTC-03:00,Oct–Feb
CAW,SBCP,Bartolomeu Lysandro Airport,"Campos dos Goytacazes, Rio de Janeiro, Brazil",UTC-03:00,Oct–Feb
CMG,SBCR,Corumbá International Airport,"Corumbá, Mato Grosso do Sul, Brazil",UTC-04:00,Oct–Feb
CWB,SBCT,Afonso Pena International Airport,"Curitiba, Paraná, Brazil",UTC-03:00,Oct–Feb
CRQ,SBCV,Caravelas Airport,"Caravelas, Bahia, Brazil",UTC-03:00,
CXJ,SBCX,Caxias do Sul Airport (Hugo Cantergiani Regional Airport),"Caxias do Sul, Rio Grande do Sul, Brazil",UTC-03:00,Oct–Feb
CGB,SBCY,Marechal Rondon International Airport,"Cuiabá, Mato Grosso, Brazil",UTC-04:00,Oct–Feb
CZS,SBCZ,Cruzeiro do Sul International Airport,"Cruzeiro do Sul, Acre, Brazil",UTC-05:00,
BYO,SBDB,Bonito Airport[1],"Bonito, Mato Grosso do Sul, Brazil",UTC-03:00,Oct-Feb
PPB,SBDN,Presidente Prudente Airport,"Presidente Prudente, São Paulo, Brazil",,
MAO,SBEG,Eduardo Gomes International Airport,"Manaus, Amazonas, Brazil",UTC-04:00,
JCR,SBEK,Jacareacanga Airport,"Jacareacanga, Pará, Brazil",UTC-03:00,
IGU,SBFI,Foz do Iguaçu International Airport,"Foz do Iguaçu, Paraná, Brazil",UTC-03:00,Oct-Feb
FLN,SBFL,Hercílio Luz International Airport,"Florianópolis, Santa Catarina, Brazil",UTC-03:00,Oct-Feb
FEN,SBFN,Fernando de Noronha Airport (Gov. Carlos Wilson Airport),"Fernando de Noronha, Pernambuco, Brazil",UTC-02:00,
FOR,SBFZ,Pinto Martins – Fortaleza International Airport,"Fortaleza, Ceará, Brazil",UTC-03:00,
GIG,SBGL,Rio de Janeiro–Galeão International Airport,"Rio de Janeiro, Brazil",UTC-03:00,Oct-Feb
GJM,SBGM,Guajará-Mirim Airport,"Guajará-Mirim, Rondônia, Brazil",UTC-04:00,
GYN,SBGO,Santa Genoveva Airport,"Goiânia, Goiás, Brazil",UTC-03:00,Oct-Feb
GRU,SBGR,São Paulo/Guarulhos–Governador André Franco Montoro International Airport,"São Paulo, Brazil",UTC-03:00,Oct-Feb
GPB,SBGU,Tancredo Thomas de Faria Airport,"Guarapuava, Paraná, Brazil",UTC-03:00,Oct-Feb
GVR,SBGV,Coronel Altino Machado de Oliveira Airport,"Governador Valadares, Minas Gerais, Brazil",UTC-03:00,Oct-Feb
GUJ,SBGW,Guaratinguetá Airport,"Guaratinguetá, São Paulo, Brazil",UTC-03:00,Oct-Feb
ATM,SBHT,Altamira Airport,"Altamira, Pará, Brazil",UTC-03:00,
ITA,SBIC,Itacoatiara Airport,"Itacoatiara, Amazonas, Brazil",UTC-04:00,
ITB,SBIH,Itaituba Airport,"Itaituba, Pará, Brazil",UTC-03:00,
IOS,SBIL,Ilhéus Jorge Amado Airport,"Ilhéus, Bahia, Brazil",UTC-03:00,
IPN,SBIP,Usiminas Airport,"Ipatinga, Minas Gerais, Brazil",UTC-03:00,Oct-Feb
ITR,SBIT,Itumbiara Airport,"Itumbiara, Goiás, Brazil",UTC-03:00,Oct-Feb
IMP,SBIZ,Imperatriz Airport (Prefeito Renato Moreira Airport),"Imperatriz, Maranhão, Brazil",UTC-03:00,
JJG,SBJA,Humberto Ghizzo Bortoluzzi Regional Airport[1],"Jaguaruna, Santa Catarina, Brazil",UTC-03:00,Oct-Feb
JJD,SBJE,Comte. Ariston Pessoa Regional Airport[1],"Jijoca de Jericoacoara, Brazil",UTC-03:00,Oct-Feb
JDF,SBJF,Francisco Álvares de Assis Airport,"Juiz de Fora, Minas Gerais, Brazil",UTC-03:00,Oct-Feb
JPA,SBJP,Presidente Castro Pinto International Airport,"João Pessoa, Paraíba, Brazil",UTC-03:00,
RRJ,SBJR,Jacarepaguá Airport[1],"Barra da Tijuca, Rio de Janeiro, Brazil",,
JDO,SBJU,Juazeiro do Norte Airport,"Juazeiro do Norte, Ceará, Brazil",UTC-03:00,
JOI,SBJV,Joinville-Lauro Carneiro de Loyola Airport,"Joinville, Santa Catarina, Brazil",UTC-03:00,Oct-Feb
CPV,SBKG,Campina Grande Airport (Presidente João Suassuna Airport),"Campina Grande, Paraíba, Brazil",UTC-03:00,
VCP,SBKP,Viracopos/Campinas International Airport,"São Paulo / Campinas, São Paulo, Brazil",,
LEC,SBLE,Coronel Horácio de Mattos Airport,"Lençóis, Bahia, Brazil",UTC-03:00,
LAJ,SBLJ,Antônio Correia Pinto de Macedo Airport,"Lages, Santa Catarina, Brazil",UTC-03:00,Oct-Feb
LIP,SBLN,Lins Airport,"Lins, São Paulo, Brazil",UTC-03:00,Oct-Feb
LDB,SBLO,Londrina–Governador José Richa Airport,"Londrina, Paraná, Brazil",UTC-03:00,Oct-Feb
LAZ,SBLP,Bom Jesus da Lapa Airport,"Bom Jesus da Lapa, Bahia, Brazil",UTC-03:00,
MAB,SBMA,João Correa da Rocha Airport,"Marabá, Pará, Brazil",UTC-03:00,
MQH,SBMC,Minaçu Airport,"Minaçu, Goiás, Brazil",UTC-03:00,Oct-Feb
